04-Aug-26 18:29:29 : Initialize ... (boerse.cx) forum scraper....
04-Aug-26 18:29:29 : keyword = DER SPIEGEL
04-Aug-26 18:29:29 : ---------------------------------------------------->
04-Aug-26 18:29:29 : 
04-Aug-26 18:29:32 :  completed - Der Spiegel - 29 Mai 2026 | url - https://boerse.cx/thema/der-spiegel-29-mai-2026.328314/
04-Aug-26 18:29:36 :  completed - Der Spiegel - 06.03.2026 | url - https://boerse.cx/thema/der-spiegel-06-03-2026.316586/
04-Aug-26 18:29:40 :  completed - DER SPIEGEL - aktuelle Ausgabe 2026-31 (inkl. Jahresarchiven, einzeln ladbar) | url - https://boerse.cx/thema/der-spiegel-aktuelle-ausgabe-2026-31-inkl-jahresarchiven-einzeln-ladbar.335628/
04-Aug-26 18:29:43 :  completed - Der schwarze Spiegel 1946 German AC3 DL 1080p BDRip x265 - FuN | url - https://boerse.cx/thema/der-schwarze-spiegel-1946-german-ac3-dl-1080p-bdrip-x265-fun.330562/
04-Aug-26 18:29:48 :  completed - Spiegel TV Der Gefreite und sein General GERMAN 2013 DOKU WS DVDRip x264 - UMF | url - https://boerse.cx/thema/spiegel-tv-der-gefreite-und-sein-general-german-2013-doku-ws-dvdrip-x264-umf.336293/
04-Aug-26 18:29:53 :  completed - HörbuchThrillerAbenteuerRocco Heerklotz - Terence Wolf 01 - Der Sinn im Spiegel (Ungekürzt) | url - https://boerse.cx/thema/rocco-heerklotz-terence-wolf-01-der-sinn-im-spiegel-ungek%C3%BCrzt.323676/
04-Aug-26 18:29:57 :  completed - Der Spiegel German 1975 AC3 BDRiP x264 - PL3X | url - https://boerse.cx/thema/der-spiegel-german-1975-ac3-bdrip-x264-pl3x.310574/
04-Aug-26 18:30:01 :  completed - Der Spiegel 1975 German 1080p BluRay x264 - PL3X | url - https://boerse.cx/thema/der-spiegel-1975-german-1080p-bluray-x264-pl3x.310571/
04-Aug-26 18:30:06 :  completed - Der Spiegel 1975 German 720p BluRay x264 - PL3X | url - https://boerse.cx/thema/der-spiegel-1975-german-720p-bluray-x264-pl3x.310570/
04-Aug-26 18:30:12 :  completed - The Hunters Auf der Jagd nach dem verlorenen Spiegel 2013 German DL 1080p BluRay x264 - EPHEMERiD | url - https://boerse.cx/thema/the-hunters-auf-der-jagd-nach-dem-verlorenen-spiegel-2013-german-dl-1080p-bluray-x264-ephemerid.330369/
04-Aug-26 18:30:15 :  completed - Der Spiegel - The Mirror - Zerkalo 1975 Dual Complete BluRay - MAMA | url - https://boerse.cx/thema/der-spiegel-the-mirror-zerkalo-1975-dual-complete-bluray-mama.308549/
04-Aug-26 18:30:20 :  completed - Der Spiegel 1975 Remastered German DL 1080p BluRay AVC - ELEMENTAL | url - https://boerse.cx/thema/der-spiegel-1975-remastered-german-dl-1080p-bluray-avc-elemental.308538/
04-Aug-26 18:30:24 :  completed - Der Spiegel 22. August 2025 | url - https://boerse.cx/thema/der-spiegel-22-august-2025.288333/
04-Aug-26 18:30:30 :  completed - HörspielKinder/JugendJules Verne - Die neuen Abenteuer des Phileas Fogg, Folge 47: Der schwarze Spiegel | url - https://boerse.cx/thema/jules-verne-die-neuen-abenteuer-des-phileas-fogg-folge-47-der-schwarze-spiegel.290217/
04-Aug-26 18:30:34 :  completed - HörspielKrimiDie Brixton Boys - Folge 2: Der venezianische Spiegel | url - https://boerse.cx/thema/die-brixton-boys-folge-2-der-venezianische-spiegel.274382/
04-Aug-26 18:30:39 :  completed - Der Spiegel Geschichte 01-2025 | url - https://boerse.cx/thema/der-spiegel-geschichte-01-2025.258797/
04-Aug-26 18:30:45 :  completed - Der Spiegel 04 Januar 2025 | url - https://boerse.cx/thema/der-spiegel-04-januar-2025.256818/
04-Aug-26 18:30:48 :  completed - HörspielKinder/JugendElea Eluanda - Folge 15: Der venezianische Spiegel | url - https://boerse.cx/thema/elea-eluanda-folge-15-der-venezianische-spiegel.262693/
04-Aug-26 18:30:53 :  completed - Der Spiegel Nachrichtenmagazin No 04-2025 | url - https://boerse.cx/thema/der-spiegel-nachrichtenmagazin-no-04-2025.258805/
04-Aug-26 18:30:59 :  completed - Der Spiegel Nachrichtenmagazin No 01 - 2025 | url - https://boerse.cx/thema/der-spiegel-nachrichtenmagazin-no-01-2025.255894/
